state,district,market,commodity,variety,min_price,max_price,modal_price
Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus,6000,8000,7000
Andaman and Nicobar,South Andaman,Port Blair,Banana - Green,Banana - Green,4500,5500,5000
Andaman and Nicobar,South Andaman,Port Blair,Bhindi(Ladies Finger),Bhindi,6000,8000,7000
Andaman and Nicobar,South Andaman,Port Blair,Bitter gourd,Other,6000,8000,7000
Andaman and Nicobar,South Andaman,Port Blair,Black pepper,Other,110000,130000,120000
Andaman and Nicobar,South Andaman,Port Blair,Bottle gourd,Other,3000,4000,3500
Andaman and Nicobar,South Andaman,Port Blair,Brinjal,Other,7000,8000,7500
Andaman and Nicobar,South Andaman,Port Blair,Cabbage,Other,6000,7000,6500
Andaman and Nicobar,South Andaman,Port Blair,Carrot,Other,9000,11000,10000
Andaman and Nicobar,South Andaman,Port Blair,Cauliflower,Other,10000,12000,11000
Andaman and Nicobar,South Andaman,Port Blair,Cluster beans,Cluster Beans,8000,10000,9000
Andaman and Nicobar,South Andaman,Port Blair,Coconut,Big,5400,6000,5600
Andaman and Nicobar,South Andaman,Port Blair,Colacasia,Other,5000,7000,6000
Andaman and Nicobar,South Andaman,Port Blair,Onion,Other,2000,3500,3000
Andaman and Nicobar,South Andaman,Port Blair,Potato,Other,2000,3500,3000
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,400,960,620
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,200,500,300
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,400,1120,760
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),4500,4700,4600
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),1800,1950,1900
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,1900,2000,1950
Andhra Pradesh,West Godavari,Attili,Paddy(Dhan)(Common),Paddy,1750,1770,1760
Assam,Cachar,Cachar,Lentil (Masur)(Whole),Masur Dal,5200,7200,7000
Assam,Cachar,Cachar,Rice,Common,2200,2500,2400
Assam,Cachar,Cachar,Rice,Fine,2500,3000,2800
Assam,Darrang,Kharupetia,Bitter gourd,Bitter Gourd,6000,6500,6400
Assam,Darrang,Kharupetia,Bottle gourd,Bottle Gourd,800,900,850
Assam,Darrang,Kharupetia,Brinjal,Round,800,900,850
Assam,Darrang,Kharupetia,Cabbage,Cabbage,300,400,350
Assam,Darrang,Kharupetia,Carrot,Carrot,1000,1100,1050
Assam,Darrang,Kharupetia,Cauliflower,Local,1400,1500,1450
Assam,Darrang,Kharupetia,Cluster beans,Cluster Beans,4000,4200,4100
Assam,Darrang,Kharupetia,Cucumbar(Kheera),Cucumbar,1500,1600,1550
Assam,Darrang,Kharupetia,Field Pea,Field Pea,2800,3000,2900
Assam,Darrang,Kharupetia,French Beans (Frasbean),French Beans (Frasbean),2200,2300,2250
Assam,Darrang,Kharupetia,Green Chilli,Green Chilly,3500,3700,3600
Assam,Darrang,Kharupetia,Knool Khol,Knool Khol,900,1000,950
Assam,Darrang,Kharupetia,Potato,Badshah,600,700,650
Assam,Darrang,Kharupetia,Pumpkin,Pumpkin,600,700,650
Assam,Darrang,Kharupetia,Raddish,Raddish,800,900,850
Assam,Darrang,Kharupetia,Tomato,Hybrid,1100,1200,1150
Assam,Dhubri,Gauripur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),4300,4425,4400
Assam,Dhubri,Gauripur,Green Gram (Moong)(Whole),Green (Whole),6300,6640,6400
Assam,Dhubri,Gauripur,Jute,TD-5,2700,3700,2800
Assam,Dhubri,Gauripur,Maida Atta,Maida Atta,2260,2550,2370
Assam,Dhubri,Gauripur,Mustard,Mustard,2300,2550,2400
Assam,Dhubri,Gauripur,Rice,Fine,3500,5000,4500
Assam,Dhubri,Gauripur,Rice,Medium,1800,3000,2500
Assam,Dhubri,Gauripur,Wheat Atta,Wheat Atta,2200,2400,2300
Assam,Jorhat,Jorhat,Garlic,Garlic,3500,6000,5000
Assam,Jorhat,Jorhat,Green Gram (Moong)(Whole),Green (Whole),6200,6800,6600
Assam,Jorhat,Jorhat,Masur Dal,Masur Dal,5200,6600,6200
Assam,Jorhat,Jorhat,Onion,Onion,1150,1250,1200
Assam,Jorhat,Jorhat,Potato,Potato,500,580,550
Assam,Jorhat,Jorhat,Rice,Common,2500,7000,3200
